iter	RMSE
0	14.06129858
1	13.21012724
2	12.38496639
3	11.67328818
4	11.03373447
5	10.49347017
6	9.952991665
7	9.45372501
8	9.043011416
9	8.636977366
10	8.274192414
11	7.971944794
12	7.713184555
13	7.476073181
14	7.252969323
15	7.055859831
16	6.861685602
17	6.708648891
18	6.555768389
19	6.43338177
20	6.30618551
21	6.188150307
22	6.094923265
23	6.014795098
24	5.936231571
25	5.883733986
26	5.805075177
27	5.754930486
28	5.708573873
29	5.659039251
30	5.617479202
31	5.578811889
32	5.541871703
33	5.503773685
34	5.463344074
35	5.42988427
36	5.40887596
37	5.385668242
38	5.363921587
39	5.341186739
40	5.327813608
41	5.311712278
42	5.295461988
43	5.279863152
44	5.261235026
45	5.242629259
46	5.21592233
47	5.205335091
48	5.18917445
49	5.169348223
50	5.15051137
51	5.139472701
52	5.125155059
53	5.113875266
54	5.100535405
55	5.078417557
56	5.055478692
57	5.042296293
58	5.026111754
59	5.022603792
60	5.010477874
61	4.997569568
62	4.993732774
63	4.984905895
64	4.977393322
65	4.964122522
66	4.957328314
67	4.950613894
68	4.944664699
69	4.934851848
70	4.924596987
71	4.918558145
72	4.904093292
73	4.893690181
74	4.886967577
75	4.879964434
76	4.868201073
77	4.860147193
78	4.848852506
79	4.834236482
80	4.819649918
81	4.808973937
82	4.805526578
83	4.794342009
84	4.783801647
85	4.770713702
86	4.761045476
87	4.749110419
88	4.741160426
89	4.732044815
90	4.719333286
91	4.711069263
92	4.703078268
93	4.690702618
94	4.679659202
95	4.668085563
96	4.660435753
97	4.649906642
98	4.645236891
99	4.638434763
