iter	Passed	Remaining
0	0	91
1	1	86
2	2	83
3	3	83
4	4	82
5	5	80
6	6	81
7	6	79
8	7	77
9	8	76
10	9	74
11	10	74
12	11	73
13	11	73
14	12	72
15	13	70
16	14	69
17	15	68
18	15	67
19	16	66
20	17	65
21	18	64
22	18	63
23	19	62
24	20	61
25	21	61
26	22	60
27	23	59
28	23	58
29	24	57
30	25	56
31	25	55
32	26	54
33	27	53
34	28	52
35	29	52
36	30	51
37	31	50
38	32	50
39	32	49
40	33	48
41	34	47
42	35	47
43	36	46
44	37	45
45	37	44
46	38	43
47	39	42
48	40	41
49	40	40
50	41	40
51	42	39
52	43	38
53	44	37
54	44	36
55	45	35
56	46	34
57	46	33
58	47	32
59	47	31
60	48	30
61	48	29
62	49	29
63	50	28
64	50	27
65	51	26
66	52	25
67	52	24
68	52	23
69	53	22
70	53	21
71	54	21
72	54	20
73	55	19
74	55	18
75	56	17
76	56	16
77	57	16
78	57	15
79	58	14
80	58	13
81	58	12
82	59	12
83	59	11
84	59	10
85	60	9
86	60	9
87	61	8
88	61	7
89	61	6
90	62	6
91	62	5
92	62	4
93	63	4
94	63	3
95	63	2
96	64	1
97	64	1
98	65	0
99	65	0
