iter	Passed	Remaining
0	98	98784
1	99	49581
2	99	33149
3	100	24928
4	100	19996
5	100	16715
6	101	14366
7	101	12602
8	102	11232
9	102	10141
10	102	9243
11	103	8498
12	103	7866
13	104	7326
14	104	6854
15	104	6440
16	105	6091
17	105	5766
18	106	5475
19	106	5212
20	106	4975
21	107	4760
22	107	4563
23	107	4382
24	108	4215
25	108	4062
26	108	3920
27	109	3796
28	109	3673
29	110	3559
30	110	3451
31	110	3351
32	111	3257
33	111	3169
34	111	3085
35	112	3005
36	112	2930
37	113	2865
38	113	2808
39	114	2748
40	114	2687
41	115	2629
42	115	2573
43	116	2520
44	116	2469
45	116	2423
46	117	2379
47	117	2334
48	118	2291
49	118	2252
50	118	2212
51	119	2174
52	119	2138
53	120	2106
54	120	2072
55	120	2039
56	121	2006
57	121	1975
58	122	1945
59	122	1916
60	122	1890
61	123	1863
62	123	1842
63	124	1817
64	124	1793
65	125	1769
66	125	1746
67	125	1724
68	126	1702
69	126	1680
70	126	1659
71	127	1638
72	127	1619
73	127	1599
74	128	1581
75	128	1562
76	128	1545
77	129	1527
78	129	1513
79	130	1501
80	131	1488
81	131	1473
82	131	1456
83	132	1443
84	133	1432
85	133	1417
86	133	1403
87	134	1390
88	134	1376
89	134	1363
90	135	1351
91	135	1338
92	135	1325
93	136	1312
94	136	1300
95	136	1287
96	137	1276
97	137	1264
98	137	1253
99	137	1241
100	138	1234
101	139	1224
102	139	1213
103	139	1203
104	139	1193
105	140	1183
106	140	1173
107	140	1163
108	141	1154
109	141	1144
110	141	1135
111	142	1126
112	142	1117
113	142	1109
114	143	1100
115	143	1092
116	143	1083
117	144	1081
118	145	1074
119	145	1067
120	145	1059
121	146	1052
122	146	1044
123	146	1038
124	147	1031
125	147	1024
126	148	1017
127	148	1010
128	149	1006
129	149	999
130	150	995
131	150	989
132	150	983
133	151	976
134	151	970
135	151	964
136	152	958
137	152	952
138	152	946
139	153	940
140	153	935
141	153	928
142	154	922
143	154	918
144	154	913
145	155	907
146	155	902
147	155	897
148	156	892
149	156	887
150	156	881
151	157	876
152	157	871
153	157	866
154	158	861
155	158	856
156	158	851
157	158	847
158	159	842
159	159	837
160	159	832
161	160	828
162	160	823
163	160	819
164	161	815
165	161	810
166	161	806
167	162	802
168	162	798
169	162	794
170	163	790
171	163	786
172	163	783
173	164	779
174	164	775
175	164	771
176	165	767
177	165	763
178	165	760
179	166	757
180	166	753
181	166	750
182	167	746
183	167	742
184	167	739
185	168	736
186	168	733
187	169	730
188	169	726
189	169	724
190	170	721
191	170	718
192	170	714
193	171	712
194	171	709
195	172	706
196	172	702
197	172	699
198	173	696
199	173	693
200	173	690
201	174	687
202	174	684
203	174	681
204	175	678
205	175	676
206	175	673
207	176	670
208	176	667
209	176	665
210	177	662
211	177	659
212	177	656
213	178	654
